ID,Sales
883,117
884,117
885,117
886,117
887,75
888,75
889,75
890,75
891,75
892,75
893,75
894,75
895,75
896,117
897,117
898,117
899,117
900,117
901,75
902,75
903,75
904,75
905,75
906,75
907,75
908,75
909,75
910,117
911,117
912,117
913,117
914,117
915,75
916,75
917,75
918,75
919,75
920,75
921,75
922,75
923,75
924,117
925,117
926,117
927,117
928,117
929,75
930,75
931,75
932,75
933,75
934,75
935,75
936,75
937,75
938,117
939,117
940,117
941,117
942,117
1825,175
1826,175
1827,97
1828,175
1829,97
1830,97
1831,97
1832,97
1833,97
1834,97
1835,97
1836,97
1837,97
1838,175
1839,175
1840,175
1841,175
1842,175
1843,97
1844,97
1845,97
1846,97
1847,97
1848,97
1849,97
1850,97
1851,97
1852,175
1853,175
1854,175
1855,175
1856,175
1857,97
1858,97
1859,97
1860,97
1861,97
1862,97
1863,97
1864,97
1865,97
1866,175
1867,175
1868,175
1869,175
1870,175
1871,97
1872,97
1873,97
1874,97
1875,97
1876,97
1877,97
1878,97
1879,97
1880,175
1881,175
1882,175
1883,175
1884,175
2767,207
2768,207
2769,207
2770,207
2771,122
2772,122
2773,122
2774,122
2775,122
2776,122
2777,122
2778,122
2779,122
2780,207
2781,207
2782,207
2783,207
2784,207
2785,122
2786,122
2787,122
2788,122
2789,122
2790,122
2791,122
2792,122
2793,122
2794,207
2795,207
2796,207
2797,207
2798,207
2799,122
2800,122
2801,122
2802,122
2803,122
2804,122
2805,122
2806,122
2807,122
2808,207
2809,207
2810,207
2811,207
2812,207
2813,122
2814,122
2815,122
2816,122
2817,122
2818,122
2819,122
2820,122
2821,122
2822,207
2823,207
2824,207
2825,207
2826,207
3709,145
3710,145
3711,145
3712,145
3713,80
3714,80
3715,80
3716,80
3717,80
3718,80
3719,80
3720,80
3721,80
3722,145
3723,145
3724,145
3725,145
3726,145
3727,80
3728,80
3729,80
3730,80
3731,80
3732,80
3733,80
3734,80
3735,80
3736,145
3737,145
3738,145
3739,145
3740,145
3741,80
3742,80
3743,80
3744,80
3745,80
3746,80
3747,80
3748,80
3749,80
3750,145
3751,145
3752,145
3753,145
3754,145
3755,80
3756,80
3757,80
3758,80
3759,80
3760,80
3761,80
3762,80
3763,80
3764,145
3765,145
3766,145
3767,145
3768,145
4651,191
4652,191
4653,117
4654,191
4655,109
4656,109
4657,109
4658,109
4659,109
4660,109
4661,109
4662,109
4663,109
4664,191
4665,191
4666,191
4667,191
4668,191
4669,109
4670,109
4671,109
4672,109
4673,109
4674,109
4675,109
4676,109
4677,109
4678,191
4679,191
4680,191
4681,191
4682,191
4683,109
4684,109
4685,109
4686,109
4687,109
4688,109
4689,109
4690,109
4691,109
4692,191
4693,191
4694,191
4695,191
4696,191
4697,109
4698,109
4699,109
4700,109
4701,109
4702,109
4703,109
4704,109
4705,109
4706,191
4707,191
4708,191
4709,191
4710,191
5593,114
5594,114
5595,114
5596,114
5597,94
5598,94
5599,94
5600,94
5601,94
5602,94
5603,94
5604,94
5605,94
5606,114
5607,114
5608,114
5609,114
5610,114
5611,94
5612,94
5613,94
5614,94
5615,94
5616,94
5617,94
5618,94
5619,94
5620,114
5621,114
5622,114
5623,114
5624,114
5625,94
5626,94
5627,94
5628,94
5629,94
5630,94
5631,94
5632,94
5633,94
5634,114
5635,114
5636,114
5637,114
5638,114
5639,94
5640,94
5641,94
5642,94
5643,94
5644,94
5645,94
5646,94
5647,94
5648,114
5649,114
5650,114
5651,114
5652,114
6535,190
6536,190
6537,190
6538,190
6539,117
6540,117
6541,117
6542,117
6543,117
6544,117
6545,117
6546,117
6547,117
6548,190
6549,190
6550,190
6551,190
6552,190
6553,117
6554,117
6555,117
6556,117
6557,117
6558,117
6559,117
6560,117
6561,117
6562,190
6563,190
6564,190
6565,190
6566,190
6567,117
6568,117
6569,117
6570,117
6571,117
6572,117
6573,117
6574,117
6575,117
6576,190
6577,190
6578,190
6579,190
6580,190
6581,117
6582,117
6583,117
6584,117
6585,117
6586,117
6587,117
6588,117
6589,117
6590,190
6591,190
6592,190
6593,190
6594,190
7477,214
7478,214
7479,214
7480,214
7481,111
7482,111
7483,111
7484,111
7485,111
7486,111
7487,111
7488,111
7489,111
7490,214
7491,214
7492,214
7493,214
7494,214
7495,111
7496,111
7497,111
7498,111
7499,111
7500,111
7501,111
7502,111
7503,111
7504,214
7505,214
7506,214
7507,214
7508,214
7509,111
7510,111
7511,111
7512,111
7513,111
7514,111
7515,111
7516,111
7517,111
7518,214
7519,214
7520,214
7521,214
7522,214
7523,111
7524,111
7525,111
7526,111
7527,111
7528,111
7529,111
7530,111
7531,111
7532,214
7533,214
7534,214
7535,214
7536,214
8235,104
8236,104
8237,85
8238,104
8239,71
8240,71
8241,71
8242,71
8243,71
8244,71
8245,71
8246,71
8247,71
8248,104
8249,104
8250,104
8251,104
8252,104
8253,71
8254,71
8255,71
8256,71
8257,71
8258,71
8259,71
8260,71
8261,71
8262,104
8263,104
8264,104
8265,104
8266,104
8267,71
8268,71
8269,71
8270,71
8271,71
8272,71
8273,71
8274,71
8275,71
8276,104
8277,104
8278,104
8279,104
8280,104
8281,71
8282,71
8283,71
8284,71
8285,71
8286,71
8287,71
8288,71
8289,71
8290,104
8291,104
8292,104
8293,104
8294,104
9177,149
9178,149
9179,74
9180,149
9181,70
9182,70
9183,70
9184,70
9185,70
9186,70
9187,70
9188,70
9189,70
9190,149
9191,149
9192,149
9193,149
9194,149
9195,70
9196,70
9197,70
9198,70
9199,70
9200,70
9201,70
9202,70
9203,70
9204,149
9205,149
9206,149
9207,149
9208,149
9209,70
9210,70
9211,70
9212,70
9213,70
9214,70
9215,70
9216,70
9217,70
9218,149
9219,149
9220,149
9221,149
9222,149
9223,70
9224,70
9225,70
9226,70
9227,70
9228,70
9229,70
9230,70
9231,70
9232,149
9233,149
9234,149
9235,149
9236,149
10119,163
10120,163
10121,163
10122,163
10123,117
10124,117
10125,117
10126,117
10127,117
10128,117
10129,117
10130,117
10131,117
10132,163
10133,163
10134,163
10135,163
10136,163
10137,117
10138,117
10139,117
10140,117
10141,117
10142,117
10143,117
10144,117
10145,117
10146,163
10147,163
10148,163
10149,163
10150,163
10151,117
10152,117
10153,117
10154,117
10155,117
10156,117
10157,117
10158,117
10159,117
10160,163
10161,163
10162,163
10163,163
10164,163
10165,117
10166,117
10167,117
10168,117
10169,117
10170,117
10171,117
10172,117
10173,117
10174,163
10175,163
10176,163
10177,163
10178,163
11061,142
11062,142
11063,142
11064,142
11065,107
11066,107
11067,107
11068,107
11069,107
11070,107
11071,107
11072,107
11073,107
11074,142
11075,142
11076,142
11077,142
11078,142
11079,107
11080,107
11081,107
11082,107
11083,107
11084,107
11085,107
11086,107
11087,107
11088,142
11089,142
11090,142
11091,142
11092,142
11093,107
11094,107
11095,107
11096,107
11097,107
11098,107
11099,107
11100,107
11101,107
11102,142
11103,142
11104,142
11105,142
11106,142
11107,107
11108,107
11109,107
11110,107
11111,107
11112,107
11113,107
11114,107
11115,107
11116,142
11117,142
11118,142
11119,142
11120,142
12003,176
12004,176
12005,91
12006,176
12007,104
12008,104
12009,104
12010,104
12011,104
12012,104
12013,104
12014,104
12015,104
12016,176
12017,176
12018,176
12019,176
12020,176
12021,104
12022,104
12023,104
12024,104
12025,104
12026,104
12027,104
12028,104
12029,104
12030,176
12031,176
12032,176
12033,176
12034,176
12035,104
12036,104
12037,104
12038,104
12039,104
12040,104
12041,104
12042,104
12043,104
12044,176
12045,176
12046,176
12047,176
12048,176
12049,104
12050,104
12051,104
12052,104
12053,104
12054,104
12055,104
12056,104
12057,104
12058,176
12059,176
12060,176
12061,176
12062,176
12761,103
12762,103
12763,61
12764,103
12765,67
12766,67
12767,67
12768,67
12769,67
12770,67
12771,67
12772,67
12773,67
12774,103
12775,103
12776,103
12777,103
12778,103
12779,67
12780,67
12781,67
12782,67
12783,67
12784,67
12785,67
12786,67
12787,67
12788,103
12789,103
12790,103
12791,103
12792,103
12793,67
12794,67
12795,67
12796,67
12797,67
12798,67
12799,67
12800,67
12801,67
12802,103
12803,103
12804,103
12805,103
12806,103
12807,67
12808,67
12809,67
12810,67
12811,67
12812,67
12813,67
12814,67
12815,67
12816,103
12817,103
12818,103
12819,103
12820,103
13703,260
13704,260
13705,160
13706,260
13707,142
13708,142
13709,142
13710,142
13711,142
13712,142
13713,142
13714,142
13715,142
13716,260
13717,260
13718,260
13719,260
13720,260
13721,142
13722,142
13723,142
13724,142
13725,142
13726,142
13727,142
13728,142
13729,142
13730,260
13731,260
13732,260
13733,260
13734,260
13735,142
13736,142
13737,142
13738,142
13739,142
13740,142
13741,142
13742,142
13743,142
13744,260
13745,260
13746,260
13747,260
13748,260
13749,142
13750,142
13751,142
13752,142
13753,142
13754,142
13755,142
13756,142
13757,142
13758,260
13759,260
13760,260
13761,260
13762,260
14645,242
14646,242
14647,142
14648,242
14649,146
14650,146
14651,146
14652,146
14653,146
14654,146
14655,146
14656,146
14657,146
14658,242
14659,242
14660,242
14661,242
14662,242
14663,146
14664,146
14665,146
14666,146
14667,146
14668,146
14669,146
14670,146
14671,146
14672,242
14673,242
14674,242
14675,242
14676,242
14677,146
14678,146
14679,146
14680,146
14681,146
14682,146
14683,146
14684,146
14685,146
14686,242
14687,242
14688,242
14689,242
14690,242
14691,146
14692,146
14693,146
14694,146
14695,146
14696,146
14697,146
14698,146
14699,146
14700,242
14701,242
14702,242
14703,242
14704,242
15587,108
15588,108
15589,89
15590,108
15591,73
15592,73
15593,73
15594,73
15595,73
15596,73
15597,73
15598,73
15599,73
15600,108
15601,108
15602,108
15603,108
15604,108
15605,73
15606,73
15607,73
15608,73
15609,73
15610,73
15611,73
15612,73
15613,73
15614,108
15615,108
15616,108
15617,108
15618,108
15619,73
15620,73
15621,73
15622,73
15623,73
15624,73
15625,73
15626,73
15627,73
15628,108
15629,108
15630,108
15631,108
15632,108
15633,73
15634,73
15635,73
15636,73
15637,73
15638,73
15639,73
15640,73
15641,73
15642,108
15643,108
15644,108
15645,108
15646,108
16529,139
16530,139
16531,139
16532,139
16533,94
16534,94
16535,94
16536,94
16537,94
16538,94
16539,94
16540,94
16541,94
16542,139
16543,139
16544,139
16545,139
16546,139
16547,94
16548,94
16549,94
16550,94
16551,94
16552,94
16553,94
16554,94
16555,94
16556,139
16557,139
16558,139
16559,139
16560,139
16561,94
16562,94
16563,94
16564,94
16565,94
16566,94
16567,94
16568,94
16569,94
16570,139
16571,139
16572,139
16573,139
16574,139
16575,94
16576,94
16577,94
16578,94
16579,94
16580,94
16581,94
16582,94
16583,94
16584,139
16585,139
16586,139
16587,139
16588,139
17471,190
17472,190
17473,190
17474,190
17475,137
17476,137
17477,137
17478,137
17479,137
17480,137
17481,137
17482,137
17483,137
17484,190
17485,190
17486,190
17487,190
17488,190
17489,137
17490,137
17491,137
17492,137
17493,137
17494,137
17495,137
17496,137
17497,137
17498,190
17499,190
17500,190
17501,190
17502,190
17503,137
17504,137
17505,137
17506,137
17507,137
17508,137
17509,137
17510,137
17511,137
17512,190
17513,190
17514,190
17515,190
17516,190
17517,137
17518,137
17519,137
17520,137
17521,137
17522,137
17523,137
17524,137
17525,137
17526,190
17527,190
17528,190
17529,190
17530,190
18413,317
18414,317
18415,208
18416,317
18417,168
18418,168
18419,168
18420,168
18421,168
18422,168
18423,168
18424,168
18425,168
18426,317
18427,317
18428,317
18429,317
18430,317
18431,168
18432,168
18433,168
18434,168
18435,168
18436,168
18437,168
18438,168
18439,168
18440,317
18441,317
18442,317
18443,317
18444,317
18445,168
18446,168
18447,168
18448,168
18449,168
18450,168
18451,168
18452,168
18453,168
18454,317
18455,317
18456,317
